transaction_id,transaction_type,merchant_category,device_type,network_type,hour_of_day,day_of_week,is_weekend
TXN0000006293,P2M,Healthcare,iOS,5G,11,Monday,0
TXN0000006501,P2M,Entertainment,iOS,4G,11,Sunday,1
TXN0000006577,P2P,Shopping,Android,4G,10,Thursday,0
TXN0000006661,Bill Payment,Grocery,iOS,4G,22,Monday,0
TXN0000006784,P2P,Grocery,Android,4G,18,Sunday,1
TXN0000006944,P2P,Food,Android,4G,18,Friday,0
TXN0000007159,P2P,Shopping,iOS,4G,10,Monday,0
TXN0000007256,P2P,Transport,Android,5G,11,Saturday,1
TXN0000007430,P2M,Other,iOS,4G,20,Monday,0
TXN0000007525,P2P,Grocery,Android,5G,12,Monday,0
TXN0000008053,Bill Payment,Utilities,Android,4G,21,Tuesday,0
TXN0000008214,P2M,Education,Android,4G,22,Sunday,1
TXN0000008283,P2P,Entertainment,Android,5G,13,Tuesday,0
TXN0000008326,P2P,Shopping,Android,4G,16,Sunday,1
TXN0000008422,Bill Payment,Healthcare,Android,4G,18,Saturday,1
TXN0000008688,P2M,Entertainment,iOS,5G,12,Wednesday,0
TXN0000008840,P2P,Transport,Android,WiFi,12,Saturday,1
TXN0000008940,P2M,Food,Android,4G,22,Saturday,1
TXN0000009018,Bill Payment,Food,Web,4G,1,Wednesday,0
TXN0000009255,P2P,Fuel,Android,4G,17,Tuesday,0
TXN0000009482,Bill Payment,Utilities,Android,5G,20,Wednesday,0
TXN0000009490,P2P,Entertainment,Android,5G,8,Monday,0
TXN0000009902,Bill Payment,Grocery,iOS,5G,21,Thursday,0
TXN0000010050,P2P,Transport,Android,5G,6,Tuesday,0
TXN0000010439,P2P,Grocery,Android,4G,10,Friday,0
TXN0000010461,Recharge,Education,Web,5G,4,Thursday,0
TXN0000010614,P2P,Other,Android,5G,11,Wednesday,0
TXN0000010753,P2M,Utilities,Android,5G,21,Monday,0
TXN0000010764,Recharge,Entertainment,Android,4G,17,Sunday,1
TXN0000010924,P2M,Grocery,iOS,5G,19,Thursday,0
TXN0000011012,P2M,Shopping,Android,4G,17,Saturday,1
TXN0000011044,Bill Payment,Entertainment,iOS,5G,22,Wednesday,0
TXN0000011236,P2P,Other,Android,WiFi,19,Monday,0
TXN0000011268,Recharge,Fuel,iOS,4G,17,Wednesday,0
TXN0000011538,Recharge,Utilities,Web,4G,15,Tuesday,0
TXN0000011547,P2M,Food,Android,5G,20,Sunday,1
TXN0000011869,Recharge,Food,Android,WiFi,18,Sunday,1
TXN0000012078,P2P,Food,Android,4G,22,Friday,0
TXN0000012092,Recharge,Education,Android,5G,19,Thursday,0
TXN0000012119,P2P,Healthcare,Android,4G,12,Sunday,1
TXN0000012166,P2P,Shopping,Android,WiFi,21,Tuesday,0
TXN0000012170,P2P,Grocery,Android,4G,18,Sunday,1
TXN0000012492,P2P,Food,iOS,4G,22,Sunday,1
TXN0000012529,Recharge,Grocery,Android,4G,11,Thursday,0
TXN0000012622,P2M,Healthcare,Android,4G,18,Saturday,1
TXN0000012671,P2P,Shopping,iOS,4G,11,Wednesday,0
TXN0000012815,Bill Payment,Other,Android,5G,11,Wednesday,0
TXN0000012955,P2P,Utilities,Android,3G,1,Monday,0
TXN0000013067,Bill Payment,Healthcare,Web,4G,20,Monday,0
TXN0000013084,P2M,Shopping,Android,3G,17,Sunday,1
TXN0000013137,Bill Payment,Shopping,Web,3G,11,Friday,0
TXN0000013155,P2P,Other,Android,4G,5,Tuesday,0
TXN0000013280,P2P,Shopping,Android,4G,20,Thursday,0
TXN0000013328,P2M,Entertainment,Android,4G,15,Sunday,1
TXN0000013523,P2P,Healthcare,iOS,5G,7,Sunday,1
TXN0000013552,Bill Payment,Food,Android,4G,11,Saturday,1
TXN0000013650,P2P,Entertainment,iOS,WiFi,16,Thursday,0
TXN0000013663,P2P,Food,Android,4G,19,Saturday,1
TXN0000013695,P2M,Grocery,Android,5G,12,Tuesday,0
TXN0000013754,Bill Payment,Food,Android,5G,12,Friday,0
TXN0000013796,P2P,Utilities,Web,5G,3,Sunday,1
TXN0000013818,P2M,Shopping,Android,4G,15,Thursday,0
TXN0000013837,P2P,Grocery,Android,4G,16,Thursday,0
TXN0000013859,P2M,Other,Android,5G,16,Saturday,1
TXN0000013956,P2P,Entertainment,Web,WiFi,18,Saturday,1
TXN0000014001,P2P,Food,iOS,4G,10,Wednesday,0
TXN0000014054,P2M,Shopping,Web,4G,21,Sunday,1
TXN0000014152,P2P,Education,iOS,4G,16,Saturday,1
TXN0000014299,P2M,Transport,Android,WiFi,17,Friday,0
TXN0000014343,P2P,Fuel,Android,4G,21,Saturday,1
TXN0000014431,P2M,Entertainment,Web,3G,14,Friday,0
TXN0000014439,P2P,Shopping,iOS,WiFi,18,Tuesday,0
TXN0000014520,P2P,Fuel,Android,4G,14,Tuesday,0
TXN0000014534,P2P,Food,iOS,4G,0,Thursday,0
TXN0000014557,P2M,Food,Android,4G,19,Sunday,1
TXN0000014623,P2P,Other,Android,4G,11,Friday,0
TXN0000014709,P2M,Transport,Android,4G,2,Friday,0
TXN0000014912,P2P,Utilities,Android,4G,21,Monday,0
TXN0000015068,P2P,Other,Android,WiFi,10,Friday,0
TXN0000015126,P2M,Grocery,iOS,4G,13,Friday,0
TXN0000015157,P2P,Grocery,Android,4G,18,Tuesday,0
TXN0000015159,P2P,Food,Android,5G,12,Friday,0
TXN0000015231,Bill Payment,Utilities,Android,4G,11,Tuesday,0
TXN0000015273,Bill Payment,Grocery,iOS,4G,8,Monday,0
TXN0000015296,P2M,Utilities,Web,4G,16,Tuesday,0
TXN0000015396,P2P,Fuel,Android,4G,7,Friday,0
TXN0000015502,P2P,Entertainment,Android,4G,20,Friday,0
TXN0000015918,P2P,Healthcare,Web,4G,11,Friday,0
TXN0000015944,P2M,Utilities,Android,5G,8,Friday,0
TXN0000015974,P2P,Utilities,Android,5G,19,Thursday,0
TXN0000016007,P2P,Grocery,Android,4G,19,Thursday,0
TXN0000016281,P2P,Utilities,Android,3G,12,Monday,0
TXN0000016341,Bill Payment,Other,Android,5G,21,Tuesday,0
TXN0000016350,P2M,Entertainment,iOS,3G,21,Saturday,1
TXN0000016506,P2P,Utilities,iOS,4G,11,Sunday,1
TXN0000016603,P2P,Shopping,iOS,WiFi,9,Monday,0
TXN0000016701,P2P,Transport,Android,4G,15,Friday,0
TXN0000016755,P2P,Shopping,Android,5G,16,Sunday,1
TXN0000016799,P2M,Grocery,Android,4G,18,Thursday,0
TXN0000016895,P2M,Healthcare,iOS,4G,10,Sunday,1
TXN0000017025,P2M,Education,Web,3G,21,Monday,0
TXN0000017302,P2P,Entertainment,Android,4G,8,Saturday,1
TXN0000017337,P2M,Utilities,Android,5G,21,Saturday,1
TXN0000017707,P2P,Grocery,Android,3G,7,Sunday,1
TXN0000017766,P2M,Food,Android,5G,21,Wednesday,0
TXN0000017968,P2M,Food,Android,5G,19,Tuesday,0
TXN0000017979,P2M,Food,Web,4G,9,Sunday,1
TXN0000018382,P2P,Shopping,iOS,5G,18,Sunday,1
TXN0000018420,Bill Payment,Utilities,Android,4G,16,Sunday,1
TXN0000018564,P2M,Food,Android,3G,20,Friday,0
TXN0000018598,Bill Payment,Utilities,iOS,4G,11,Saturday,1
TXN0000019838,P2P,Utilities,Android,5G,23,Tuesday,0
TXN0000019927,Bill Payment,Food,Android,4G,7,Wednesday,0
TXN0000019954,P2M,Food,Android,4G,8,Saturday,1
TXN0000020226,P2P,Food,iOS,4G,18,Sunday,1
TXN0000020282,P2P,Entertainment,Android,5G,19,Thursday,0
TXN0000020535,Bill Payment,Education,Android,WiFi,19,Saturday,1
TXN0000020578,P2P,Grocery,Android,4G,17,Monday,0
TXN0000020622,P2P,Other,Android,4G,12,Wednesday,0
TXN0000020630,P2M,Food,Android,5G,15,Wednesday,0
TXN0000020803,P2M,Food,Android,4G,13,Sunday,1
TXN0000020811,P2M,Food,iOS,5G,11,Thursday,0
TXN0000020948,Bill Payment,Food,Android,WiFi,20,Thursday,0
TXN0000021164,P2P,Transport,Web,4G,20,Monday,0
TXN0000021296,P2M,Grocery,Android,4G,11,Wednesday,0
TXN0000021376,P2P,Healthcare,iOS,4G,17,Tuesday,0
TXN0000021412,P2P,Grocery,Android,5G,9,Tuesday,0
TXN0000021610,P2M,Food,Android,4G,8,Sunday,1
TXN0000022050,P2P,Grocery,Android,4G,20,Wednesday,0
TXN0000022058,P2P,Food,Web,4G,15,Saturday,1
TXN0000022067,Bill Payment,Food,Web,4G,18,Sunday,1
TXN0000022101,P2M,Grocery,Android,4G,15,Tuesday,0
TXN0000022325,P2M,Other,Android,3G,10,Friday,0
TXN0000022646,P2M,Other,Android,5G,22,Tuesday,0
TXN0000022664,P2P,Utilities,Android,5G,16,Thursday,0
TXN0000022734,P2M,Fuel,Android,4G,18,Friday,0
TXN0000023141,Bill Payment,Utilities,Android,4G,9,Sunday,1
TXN0000023241,P2P,Other,Android,WiFi,17,Friday,0
TXN0000023318,P2P,Food,Android,4G,15,Thursday,0
TXN0000023356,Bill Payment,Entertainment,Android,3G,14,Thursday,0
TXN0000023460,Bill Payment,Food,iOS,4G,19,Thursday,0
TXN0000023884,Recharge,Healthcare,Android,4G,20,Sunday,1
TXN0000024019,Recharge,Fuel,iOS,5G,7,Saturday,1
TXN0000024021,P2P,Shopping,Android,5G,17,Sunday,1
TXN0000024470,P2P,Transport,Android,4G,19,Wednesday,0
TXN0000024481,P2P,Entertainment,Android,4G,14,Monday,0
TXN0000024550,P2P,Shopping,Android,WiFi,22,Thursday,0
TXN0000024630,P2M,Food,Android,4G,13,Friday,0
TXN0000024992,P2P,Food,Android,4G,19,Tuesday,0
TXN0000025216,P2P,Grocery,Android,5G,2,Thursday,0
TXN0000025384,P2M,Food,Android,4G,21,Monday,0
TXN0000025469,P2P,Food,Android,5G,21,Monday,0
TXN0000025555,P2M,Healthcare,Android,4G,18,Friday,0
TXN0000025661,P2P,Healthcare,Android,5G,21,Wednesday,0
TXN0000025706,P2P,Healthcare,Android,4G,21,Tuesday,0
TXN0000025769,P2P,Grocery,Android,5G,20,Wednesday,0
TXN0000026044,P2M,Utilities,Android,4G,6,Tuesday,0
TXN0000026149,P2P,Transport,Android,5G,23,Saturday,1
TXN0000026491,P2P,Shopping,Android,4G,4,Saturday,1
TXN0000026630,P2P,Utilities,Android,4G,17,Monday,0
TXN0000026910,Recharge,Utilities,Android,4G,22,Monday,0
TXN0000027072,Recharge,Grocery,iOS,WiFi,17,Saturday,1
TXN0000027262,P2P,Fuel,Android,4G,16,Friday,0
TXN0000027368,P2P,Fuel,Android,5G,20,Sunday,1
TXN0000027434,P2M,Shopping,Web,5G,13,Thursday,0
TXN0000027460,P2P,Other,iOS,WiFi,10,Monday,0
TXN0000027690,Bill Payment,Fuel,iOS,WiFi,7,Sunday,1
TXN0000027824,P2P,Shopping,Android,4G,10,Saturday,1
TXN0000027901,P2P,Food,Android,4G,19,Thursday,0
TXN0000027955,P2P,Grocery,Android,4G,23,Saturday,1
TXN0000027971,Recharge,Fuel,iOS,4G,14,Thursday,0
TXN0000028242,P2P,Grocery,Android,4G,18,Saturday,1
TXN0000028279,P2M,Entertainment,Android,4G,11,Thursday,0
TXN0000028321,Bill Payment,Food,iOS,4G,13,Sunday,1
TXN0000028448,P2P,Grocery,Android,4G,15,Wednesday,0
TXN0000028511,P2P,Healthcare,Android,5G,20,Thursday,0
TXN0000028574,P2P,Fuel,Android,4G,2,Monday,0
TXN0000028629,Bill Payment,Entertainment,Android,4G,9,Sunday,1
TXN0000028698,P2P,Grocery,iOS,3G,15,Wednesday,0
TXN0000028863,P2M,Transport,Android,4G,8,Monday,0
TXN0000029160,P2P,Other,Android,4G,16,Wednesday,0
TXN0000029209,Bill Payment,Other,Web,5G,17,Tuesday,0
TXN0000029414,P2P,Grocery,Android,4G,11,Saturday,1
TXN0000029465,P2P,Grocery,Android,5G,19,Sunday,1
TXN0000029486,P2P,Shopping,Android,5G,11,Sunday,1
TXN0000029589,P2P,Education,Android,WiFi,14,Tuesday,0
TXN0000029676,P2P,Transport,Android,4G,19,Sunday,1
TXN0000029775,Recharge,Grocery,Android,4G,10,Tuesday,0
TXN0000030077,P2P,Grocery,Android,3G,0,Tuesday,0
TXN0000030158,P2P,Grocery,Android,4G,7,Friday,0
TXN0000030211,P2M,Grocery,Android,WiFi,12,Tuesday,0
TXN0000030232,Recharge,Grocery,Android,WiFi,23,Thursday,0
TXN0000030382,P2M,Transport,Android,4G,7,Wednesday,0
TXN0000030524,P2P,Entertainment,Android,4G,21,Friday,0
TXN0000030625,Bill Payment,Fuel,iOS,4G,14,Wednesday,0
TXN0000030968,P2M,Fuel,Android,5G,17,Thursday,0
TXN0000031171,P2M,Shopping,Android,4G,1,Wednesday,0
TXN0000031236,P2P,Entertainment,Android,4G,15,Saturday,1
TXN0000031440,P2P,Transport,Android,WiFi,11,Thursday,0
TXN0000031753,P2M,Fuel,iOS,4G,8,Tuesday,0
TXN0000031778,P2P,Grocery,Android,5G,15,Sunday,1
TXN0000031792,P2M,Food,Android,5G,21,Tuesday,0
TXN0000031838,P2M,Shopping,Android,5G,15,Tuesday,0
TXN0000031890,Bill Payment,Food,iOS,4G,2,Sunday,1
TXN0000031901,P2M,Other,Android,5G,17,Wednesday,0
TXN0000032250,P2M,Grocery,Android,4G,22,Thursday,0
TXN0000032267,P2P,Transport,Android,4G,21,Wednesday,0
TXN0000032400,P2M,Other,Android,4G,13,Thursday,0
TXN0000032435,P2M,Other,Android,4G,19,Friday,0
TXN0000032441,P2P,Other,Android,WiFi,13,Saturday,1
TXN0000032924,P2P,Grocery,Android,4G,1,Sunday,1
TXN0000033204,Recharge,Grocery,Android,4G,10,Friday,0
TXN0000033484,Bill Payment,Education,Android,4G,18,Thursday,0
TXN0000033644,Recharge,Grocery,Android,5G,12,Sunday,1
TXN0000033665,P2M,Grocery,iOS,4G,17,Friday,0
TXN0000034091,P2M,Shopping,Android,5G,19,Sunday,1
TXN0000034292,P2M,Other,Android,4G,18,Monday,0
TXN0000034339,P2P,Shopping,Android,4G,20,Sunday,1
TXN0000034407,P2P,Fuel,Android,4G,13,Wednesday,0
TXN0000034427,P2P,Transport,Android,WiFi,22,Friday,0
TXN0000034439,P2P,Food,iOS,5G,15,Friday,0
TXN0000034482,P2M,Utilities,Android,5G,18,Tuesday,0
TXN0000034508,Recharge,Shopping,Android,4G,19,Friday,0
TXN0000034525,P2P,Grocery,Android,4G,13,Wednesday,0
TXN0000034602,P2M,Grocery,Android,4G,6,Monday,0
TXN0000034692,P2P,Food,Android,5G,21,Monday,0
TXN0000034791,P2P,Transport,Android,5G,16,Sunday,1
TXN0000034795,Bill Payment,Entertainment,Android,WiFi,17,Monday,0
TXN0000034914,Bill Payment,Entertainment,Android,4G,16,Thursday,0
TXN0000035012,P2M,Food,Android,4G,12,Friday,0
TXN0000035013,P2M,Entertainment,Android,WiFi,11,Sunday,1
TXN0000035112,P2M,Shopping,Android,4G,17,Wednesday,0
TXN0000035145,P2M,Food,Android,4G,18,Friday,0
TXN0000035158,P2M,Other,Web,3G,13,Saturday,1
TXN0000035438,P2M,Transport,Android,4G,21,Saturday,1
TXN0000035567,P2P,Education,Android,5G,14,Monday,0
TXN0000035605,P2M,Utilities,iOS,4G,13,Wednesday,0
TXN0000035693,P2P,Shopping,Android,5G,0,Saturday,1
TXN0000035712,P2P,Healthcare,Android,5G,17,Saturday,1
TXN0000035829,Bill Payment,Food,Android,4G,21,Sunday,1
TXN0000035980,P2P,Food,Android,3G,7,Monday,0
TXN0000036217,P2M,Utilities,Android,4G,15,Saturday,1
TXN0000036255,P2P,Transport,Web,4G,20,Friday,0
TXN0000036294,P2M,Shopping,Android,4G,20,Thursday,0
TXN0000036297,P2M,Food,Android,5G,12,Sunday,1
TXN0000036579,Bill Payment,Grocery,Android,5G,4,Thursday,0
TXN0000036659,P2M,Food,iOS,4G,0,Wednesday,0
TXN0000036727,P2P,Other,Web,4G,22,Monday,0
TXN0000036750,P2P,Shopping,Android,WiFi,22,Friday,0
TXN0000036852,P2P,Fuel,iOS,4G,19,Wednesday,0
TXN0000036962,P2P,Fuel,Web,3G,2,Thursday,0
TXN0000037205,P2M,Utilities,Android,5G,17,Tuesday,0
TXN0000037284,Bill Payment,Transport,Android,4G,13,Thursday,0
TXN0000037768,P2P,Other,Android,3G,12,Saturday,1
TXN0000037899,P2P,Grocery,Android,5G,22,Tuesday,0
TXN0000038490,P2P,Fuel,iOS,5G,21,Thursday,0
TXN0000038684,P2M,Healthcare,Android,4G,15,Sunday,1
TXN0000038972,Bill Payment,Food,Android,5G,10,Wednesday,0
TXN0000039011,P2P,Fuel,iOS,4G,21,Monday,0
TXN0000039031,Bill Payment,Grocery,Android,4G,16,Sunday,1
TXN0000039077,P2P,Fuel,Android,5G,16,Monday,0
TXN0000039181,Bill Payment,Shopping,Android,4G,17,Friday,0
TXN0000039260,P2M,Grocery,Android,4G,21,Sunday,1
TXN0000039422,Bill Payment,Other,iOS,WiFi,18,Sunday,1
TXN0000039433,Bill Payment,Grocery,iOS,5G,18,Sunday,1
TXN0000039473,P2P,Other,Android,4G,7,Thursday,0
TXN0000039580,Bill Payment,Utilities,iOS,4G,13,Sunday,1
TXN0000039647,P2M,Fuel,Android,5G,19,Saturday,1
TXN0000039853,P2P,Other,Android,4G,11,Thursday,0
TXN0000039899,P2P,Fuel,Android,4G,16,Friday,0
TXN0000039937,Bill Payment,Utilities,Android,4G,18,Tuesday,0
TXN0000040332,P2M,Utilities,Web,4G,19,Monday,0
TXN0000040368,Bill Payment,Grocery,iOS,4G,9,Sunday,1
TXN0000040390,P2M,Grocery,Android,5G,13,Monday,0
TXN0000040411,Recharge,Transport,Android,WiFi,9,Tuesday,0
TXN0000040420,P2M,Transport,Android,3G,18,Saturday,1
TXN0000040533,P2P,Transport,Android,5G,16,Saturday,1
TXN0000040555,Bill Payment,Grocery,iOS,5G,22,Tuesday,0
TXN0000040599,Bill Payment,Utilities,Android,4G,14,Friday,0
TXN0000040774,P2M,Fuel,Android,WiFi,1,Saturday,1
TXN0000040794,P2P,Transport,Android,4G,16,Friday,0
TXN0000040821,Bill Payment,Grocery,Android,4G,16,Monday,0
TXN0000040828,P2P,Food,iOS,4G,21,Friday,0
TXN0000040999,P2M,Entertainment,Android,5G,13,Friday,0
TXN0000041041,P2P,Fuel,iOS,5G,9,Friday,0
TXN0000041117,P2P,Food,Android,3G,19,Thursday,0
TXN0000041399,P2M,Entertainment,Android,4G,20,Wednesday,0
TXN0000041440,P2M,Utilities,Android,5G,17,Monday,0
TXN0000041448,P2M,Utilities,Android,3G,18,Saturday,1
TXN0000041519,P2M,Food,iOS,4G,13,Sunday,1
TXN0000041998,P2M,Grocery,Android,5G,0,Monday,0
TXN0000042075,Recharge,Healthcare,iOS,4G,23,Friday,0
TXN0000042269,P2M,Entertainment,iOS,4G,12,Thursday,0
TXN0000042459,Bill Payment,Transport,Android,4G,17,Saturday,1
TXN0000042782,P2P,Healthcare,Android,4G,9,Thursday,0
TXN0000042808,P2M,Utilities,Android,4G,13,Friday,0
TXN0000042889,P2M,Food,Android,5G,11,Thursday,0
TXN0000042898,Recharge,Food,Android,5G,7,Sunday,1
TXN0000043018,P2P,Other,Android,5G,8,Thursday,0
TXN0000043274,P2M,Fuel,Android,4G,9,Friday,0
TXN0000043415,P2M,Transport,Android,4G,5,Tuesday,0
TXN0000043458,P2P,Grocery,Android,5G,16,Wednesday,0
TXN0000043531,P2P,Shopping,Android,4G,2,Thursday,0
TXN0000043647,P2P,Utilities,Android,5G,13,Sunday,1
TXN0000043688,P2P,Transport,Android,4G,9,Tuesday,0
TXN0000043701,P2M,Grocery,Android,3G,8,Sunday,1
TXN0000043731,Bill Payment,Grocery,Android,4G,1,Thursday,0
TXN0000043914,P2P,Fuel,Android,5G,13,Tuesday,0
TXN0000043919,P2P,Healthcare,Android,4G,21,Tuesday,0
TXN0000044355,Bill Payment,Food,Android,4G,17,Monday,0
TXN0000044428,P2P,Transport,Android,4G,21,Thursday,0
TXN0000044447,P2P,Grocery,Android,4G,13,Monday,0
TXN0000044541,Bill Payment,Grocery,Android,4G,20,Monday,0
TXN0000044623,P2P,Grocery,iOS,4G,19,Friday,0
TXN0000044713,P2P,Fuel,Android,4G,10,Friday,0
TXN0000044956,P2M,Shopping,iOS,5G,19,Monday,0
TXN0000045256,P2M,Food,Web,4G,20,Thursday,0
TXN0000045271,P2P,Shopping,Android,5G,10,Sunday,1
TXN0000045275,P2P,Utilities,Android,4G,19,Friday,0
TXN0000045295,P2P,Shopping,Android,4G,17,Saturday,1
TXN0000045316,P2P,Food,Android,4G,11,Saturday,1
TXN0000045340,P2P,Healthcare,iOS,4G,12,Monday,0
TXN0000045427,P2P,Grocery,Android,4G,17,Friday,0
TXN0000045451,P2M,Grocery,Android,WiFi,11,Thursday,0
TXN0000045551,P2P,Shopping,Android,4G,19,Tuesday,0
TXN0000045555,P2P,Grocery,iOS,4G,21,Saturday,1
TXN0000045962,Bill Payment,Other,iOS,5G,13,Friday,0
TXN0000046034,P2P,Grocery,Web,5G,12,Friday,0
TXN0000046111,P2P,Healthcare,iOS,4G,12,Saturday,1
TXN0000046147,P2M,Utilities,Android,3G,12,Saturday,1
TXN0000046342,P2P,Food,Web,3G,16,Monday,0
TXN0000046348,P2P,Utilities,Android,4G,16,Wednesday,0
TXN0000046477,P2M,Shopping,iOS,WiFi,9,Tuesday,0
TXN0000046491,P2M,Fuel,Android,4G,18,Thursday,0
TXN0000046617,P2M,Shopping,iOS,4G,19,Friday,0
TXN0000047252,P2P,Food,Android,4G,21,Friday,0
TXN0000047845,P2M,Healthcare,iOS,4G,18,Wednesday,0
TXN0000048048,Bill Payment,Shopping,Android,3G,14,Friday,0
TXN0000048245,P2P,Other,iOS,4G,14,Wednesday,0
TXN0000048289,Bill Payment,Grocery,Android,4G,21,Tuesday,0
TXN0000048349,P2P,Grocery,Android,4G,18,Tuesday,0
TXN0000048396,P2P,Shopping,iOS,WiFi,13,Saturday,1
TXN0000048473,Bill Payment,Grocery,Android,4G,18,Thursday,0
TXN0000048580,P2P,Other,Android,WiFi,20,Thursday,0
TXN0000048655,P2P,Shopping,Android,4G,13,Saturday,1
TXN0000049121,P2P,Grocery,iOS,4G,11,Tuesday,0
TXN0000049155,P2P,Healthcare,Android,4G,12,Monday,0
TXN0000049312,P2M,Food,Android,4G,18,Saturday,1
TXN0000049328,P2P,Healthcare,Android,4G,19,Tuesday,0
TXN0000049406,P2M,Grocery,Android,5G,11,Sunday,1
TXN0000049462,P2M,Food,iOS,4G,4,Saturday,1
TXN0000049715,P2M,Food,Android,5G,7,Saturday,1
TXN0000049978,P2P,Utilities,Android,4G,8,Friday,0
TXN0000050208,Bill Payment,Fuel,Android,4G,22,Sunday,1
TXN0000050216,P2P,Grocery,Android,5G,12,Tuesday,0
TXN0000050400,P2M,Grocery,Android,WiFi,19,Tuesday,0
TXN0000050435,P2M,Utilities,iOS,4G,11,Tuesday,0
TXN0000050551,P2P,Shopping,Android,5G,7,Friday,0
TXN0000050557,P2P,Grocery,Android,5G,12,Monday,0
TXN0000050596,P2P,Other,Web,4G,11,Saturday,1
TXN0000050732,P2M,Entertainment,Android,4G,9,Thursday,0
TXN0000050737,Bill Payment,Grocery,Android,4G,16,Friday,0
TXN0000050980,P2M,Transport,Android,4G,15,Saturday,1
TXN0000050993,Recharge,Food,Android,WiFi,16,Monday,0
TXN0000051069,P2M,Transport,Android,5G,10,Tuesday,0
TXN0000051111,Bill Payment,Food,Android,5G,11,Saturday,1
TXN0000051146,P2P,Fuel,Android,WiFi,22,Thursday,0
TXN0000051285,P2M,Entertainment,Android,4G,10,Thursday,0
TXN0000051336,P2P,Shopping,iOS,4G,17,Tuesday,0
TXN0000051514,P2P,Food,iOS,4G,16,Wednesday,0
TXN0000051788,P2M,Transport,Android,4G,10,Wednesday,0
TXN0000051809,P2M,Entertainment,Android,4G,12,Friday,0
TXN0000052031,P2M,Transport,Android,5G,6,Monday,0
TXN0000052040,P2P,Other,Android,5G,15,Sunday,1
TXN0000052044,P2P,Other,Android,5G,13,Tuesday,0
TXN0000052057,P2M,Food,Android,4G,21,Sunday,1
TXN0000052419,P2M,Entertainment,Android,4G,8,Wednesday,0
TXN0000052491,P2P,Shopping,Android,4G,14,Friday,0
TXN0000052517,Bill Payment,Shopping,Android,3G,16,Tuesday,0
TXN0000052569,P2P,Grocery,Android,4G,18,Friday,0
TXN0000052705,P2M,Grocery,Android,WiFi,20,Tuesday,0
TXN0000052913,P2P,Other,iOS,4G,9,Monday,0
TXN0000052934,Bill Payment,Grocery,Web,WiFi,8,Thursday,0
TXN0000052937,Recharge,Fuel,Android,4G,18,Saturday,1
TXN0000052949,P2P,Utilities,Android,4G,13,Saturday,1
TXN0000052975,Bill Payment,Other,Android,4G,22,Tuesday,0
